"","database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","support_type","pubmed_id","type","score","disease_drug","paper_pubmedID"
"1","mirecords","MIMAT0000147","mmu-miR-135a-5p","Runx2","12393","ENSMUSG00000039153","Western blot","","21628588","validated",NA,NA,NA
"2","mirecords","MIMAT0000582","mmu-miR-338-3p","Runx2","12393","ENSMUSG00000039153","Western blot","","21628588","validated",NA,NA,NA
"3","mirtarbase","MIMAT0000134","mmu-miR-124-3p","Ptn","19242","ENSMUSG00000029838","Microarray","","18619591","validated",NA,NA,NA
"4","mirtarbase","MIMAT0000165","mmu-miR-155-5p","Osr1","23967","ENSMUSG00000048387","HITS-CLIP","","23142080","validated",NA,NA,NA
"5","mirtarbase","MIMAT0000649","mmu-miR-17-5p","Mef2c","17260","ENSMUSG00000005583","HITS-CLIP","","23142080","validated",NA,NA,NA
"6","mirtarbase","MIMAT0000649","mmu-miR-17-5p","Bmp4","12159","ENSMUSG00000021835","qRT-PCR","","19559694","validated",NA,NA,NA
"7","mirtarbase","MIMAT0000649","mmu-miR-17-5p","Gpm6b","14758","ENSMUSG00000031342","Sequencing","","19536157","validated",NA,NA,NA
"8","mirtarbase","MIMAT0000649","mmu-miR-17-5p","Osr1","23967","ENSMUSG00000048387","ChIP-seq//Immunofluorescence//In situ hybridization//Luciferase reporter assay//qRT-PCR","","24068957","validated",NA,NA,NA
"9","mirtarbase","MIMAT0000513","mmu-miR-19b-3p","Atraid","381629","ENSMUSG00000013622","Sequencing","","19536157","validated",NA,NA,NA
"10","mirtarbase","MIMAT0000529","mmu-miR-20a-5p","Mef2c","17260","ENSMUSG00000005583","HITS-CLIP","","23142080","validated",NA,NA,NA
"11","mirtarbase","MIMAT0000529","mmu-miR-20a-5p","Bmp4","12159","ENSMUSG00000021835","qRT-PCR","","19559694","validated",NA,NA,NA
"12","mirtarbase","MIMAT0000529","mmu-miR-20a-5p","Osr1","23967","ENSMUSG00000048387","ChIP-seq//Immunofluorescence//In situ hybridization//Luciferase reporter assay//qRT-PCR","","24068957","validated",NA,NA,NA
"13","mirtarbase","MIMAT0014808","mmu-miR-344d-3p","Slc8a1","20541","ENSMUSG00000054640","HITS-CLIP","","25083871","validated",NA,NA,NA
"14","mirtarbase","MIMAT0000209","mmu-miR-129-5p","Runx2","12393","ENSMUSG00000039153","HITS-CLIP","","25083871","validated",NA,NA,NA
"15","mirtarbase","MIMAT0000209","mmu-miR-129-5p","Bmp2","12156","ENSMUSG00000027358","HITS-CLIP","","23142080","validated",NA,NA,NA
"16","mirtarbase","MIMAT0000209","mmu-miR-129-5p","Isg15","100038882","ENSMUSG00000035692","HITS-CLIP","","23142080","validated",NA,NA,NA
"17","tarbase","MIMAT0000246","mmu-miR-122-5p","Bmp2","12156","ENSMUSG00000027358","RNA-Seq","negative","25263593","validated",NA,NA,NA
"18","tarbase","MIMAT0000246","mmu-miR-122-5p","Ptn","19242","ENSMUSG00000029838","RPF-Seq","negative","25263593","validated",NA,NA,NA
"19","tarbase","MIMAT0000246","mmu-miR-122-5p","Rxra","20181","ENSMUSG00000015846","RPF-Seq","negative","25263593","validated",NA,NA,NA
"20","tarbase","MIMAT0000246","mmu-miR-122-5p","Slc8a1","20541","ENSMUSG00000054640","RPF-Seq//RNA-Seq","negative","25263593,25263593","validated",NA,NA,NA
"21","tarbase","MIMAT0000246","mmu-miR-122-5p","Alox5","11689","ENSMUSG00000025701","RPF-Seq","negative","25263593","validated",NA,NA,NA
"22","tarbase","MIMAT0000246","mmu-miR-122-5p","Cd276","102657","ENSMUSG00000035914","RNA-Seq//RPF-Seq","negative","25263593,25263593","validated",NA,NA,NA
"23","tarbase","MIMAT0000134","mmu-miR-124-3p","Gpm6b","14758","ENSMUSG00000031342","HITS-CLIP","negative","19536157","validated",NA,NA,NA
"24","tarbase","MIMAT0000134","mmu-miR-124-3p","Nell1","338352","ENSMUSG00000055409","HITS-CLIP","negative","19536157","validated",NA,NA,NA
