"","X","target_id","D0_PF_1","D0_PF_2","D7_PF_1","D7_PF_2","D0_SAG_1","D0_SAG_2","D7_SAG_1","D7_SAG_2","Trend"
"1",2,"Matn4",70.02055,62.20781,13667.88,13117.96,134.5043235,103.3754491,11145.96913,12876.82989,"UBT"
"2",3,"1500015O10Rik",149.1998247,131.2985282,16296.23447,14389.53591,396.7426437,421.5117423,24144.31068,24767.58943,"UBT"
"3",4,"Lilr4b",279.4502,279.6819,6074.962,7170.806,105.6835429,117.7798172,860.2367122,1463.907136,"UBT"
"4",5,"Mfap2",382.2654,363.4356,6262.456,5654.409,383.4465216,373.657693,5491.792406,4868.809478,"UBT"
"5",6,"Egfl6",294.6918522,240.2219591,22218.86728,21164.64792,391.1546037,407.6915667,15957.1944,6990.472269,"UBT"
"6",7,"Sfrp2",581.7713,487.0498,31883.53,28937.32,411.6320135,329.5415576,22309.53552,20648.85299,"UBT"
"7",8,"Cdkn1c",62.34643152,66.5628919,6711.975559,5683.33888,75.37815345,70.09637901,4367.066733,5096.392144,"UBT"
"8",9,"Scara5",93.67344,91.25284,3828.553,3532.852,137.4044295,118.3323016,2608.598758,1805.064812,"UBT"
"9",10,"Islr",1486.414,1514.137,13023.66,12546.42,1669.388756,1592.305855,15694.64761,16279.82968,"UBT"
"10",11,"Col14a1",176.5663724,178.7322265,10818.63602,9617.830415,451.9622469,369.7324011,15791.27118,14729.99499,"UBT"
"11",13,"H2-K1",1125.936,1075.241,10433.37,10663.08,1033.438783,1038.008916,9230.084972,9148.525263,"UBT"
"12",14,"Gpx3",970.2676,887.115,8901.968,9201.325,679.2929795,671.7155016,8271.919421,12515.88969,"UBT"
"13",15,"Siglec1",55.21154,49.6223,10461.84,13646.16,38.7670954,36.69524036,1609.88462,2165.887928,"UBT"
"14",16,"Cpxm1",568.7764255,585.1399501,8132.873268,7788.829361,529.425975,571.4596687,5894.238827,4869.345108,"UBT"
"15",17,"Mdk",488.4325,480.9495,6884.426,6482.171,564.2832786,466.5341102,5383.412331,5327.862878,"UBT"
"16",18,"Clec11a",1509.974129,1529.579935,15888.60214,14238.82256,1329.967335,1229.409248,21103.85385,25280.59013,"UBT"
"17",20,"Nov",2885.129,3064.91,15756.12,16861.44,3668.403656,3561.589349,10171.21432,6832.620456,"UBT"
"18",21,"Slfn2",83.27471,93.92157,2920.213,3261.355,32.72242551,25.3482887,812.7433696,980.5663241,"UBT"
"19",22,"Cpz",171.6221077,158.2676121,2939.049623,2914.506037,152.5769174,171.8383228,2104.921646,2140.80468,"UBT"
"20",24,"Psmb8",440.9815,459.2183,5956.226,6159.485,346.6067251,403.1517703,4595.719214,4774.07054,"UBT"
"21",25,"Lilrb4a",480.0011,502.4493,8036.076,9369.476,180.1687773,126.7900732,1426.71667,2179.377557,"UBT"
"22",26,"Gfra2",85.85104977,83.95161947,2783.953196,2658.373685,205.9286345,198.3456556,4168.331746,5936.925278,"UBT"
"23",27,"Cd34",337.8437536,334.9528395,3134.362191,3288.216203,232.686862,234.0010815,2432.189357,1840.452678,"UBT"
"24",29,"Cst3",5104.262328,5337.753133,37813.41635,34123.43863,5672.065458,5696.192327,43689.85628,45425.32759,"UBT"
"25",30,"Gdf10",119.5396186,106.3805594,2397.104528,2284.281154,236.4820684,258.8229997,4315.791601,5303.118364,"UBT"
"26",34,"Mylip",574.3851,608.7523,3747.633,3513.012,637.4189541,538.9238276,3103.271415,3294.976983,"UBT"
"27",35,"Oas1a",53.71447,62.74723,2369.248,2186.158,35.23263537,30.35558727,1240.933993,1124.476379,"UBT"
