"","miRNA","D0PF1","D0PF2","D0SAG1","D0SAG2","D7PF1","D7PF2","D7SAG1","D7SAG2","Trend"
"1","mmu-let-7a-2-3p",647,516,622,547,218,206,502,375,"DBT"
"4","mmu-let-7e-3p",1821,1463,1934,1717,655,533,1386,1124,"DBT"
"10","mmu-miR-122-5p",118,108,566,184,20,17,71,31,"DBT"
"11","mmu-miR-124-3p",298,345,5684,2669,45,31,1293,581,"DBT"
"12","mmu-miR-124-5p",71,44,171,91,4,7,44,20,"DBT"
"13","mmu-miR-1247-3p",153,119,51,35,25,10,10,12,"DBT"
"14","mmu-miR-1247-5p",772,631,303,204,137,93,85,81,"DBT"
"15","mmu-miR-125b-1-3p",61673,64734,63907,51528,19089,12270,34902,27406,"DBT"
"17","mmu-miR-1264-3p",2,3,286,105,0,0,23,5,"DBT"
"18","mmu-miR-126a-3p",1851,929,1027,1219,607,352,684,423,"DBT"
"19","mmu-miR-126a-5p",991,516,463,563,336,191,435,280,"DBT"
"20","mmu-miR-129-1-3p",78,23,78,63,11,7,32,24,"DBT"
"21","mmu-miR-129-2-3p",7211,4134,4760,4834,1664,893,2957,2698,"DBT"
"22","mmu-miR-129-5p",6088,4850,4741,4419,663,565,1480,1155,"DBT"
"23","mmu-miR-1291",122,146,84,89,32,32,66,58,"DBT"
"24","mmu-miR-1298-3p",1,0,82,37,0,0,5,3,"DBT"
"25","mmu-miR-1298-5p",1,8,3838,1156,0,2,126,53,"DBT"
"28","mmu-miR-132-3p",7988,6470,8763,7446,1516,1199,2811,2765,"DBT"
"29","mmu-miR-132-5p",1488,938,1294,1230,440,327,952,793,"DBT"
"30","mmu-miR-135a-5p",615,372,1567,1580,137,152,1186,574,"DBT"
"38","mmu-miR-155-3p",49,21,27,22,5,2,8,15,"DBT"
"39","mmu-miR-155-5p",9609,4463,2602,6341,1634,1076,4213,2272,"DBT"
"42","mmu-miR-17-3p",8111,6711,6913,5292,3793,1856,2995,2976,"DBT"
"43","mmu-miR-17-5p",39864,25706,26961,22450,16449,8965,11841,9855,"DBT"
"45","mmu-miR-181c-5p",5315,3402,4560,4442,1609,1055,2489,2120,"DBT"
"46","mmu-miR-182-5p",720,460,4169,2382,565,342,1205,641,"DBT"
"47","mmu-miR-183-5p",401,205,2943,1481,342,228,824,407,"DBT"
"52","mmu-miR-18a-3p",151,175,183,141,93,31,70,61,"DBT"
"53","mmu-miR-18a-5p",5758,4104,3974,3664,1960,1140,1667,1397,"DBT"
"55","mmu-miR-193a-5p",1353,989,1925,1762,788,551,886,789,"DBT"
"58","mmu-miR-1945",71,59,88,73,15,17,33,42,"DBT"
"60","mmu-miR-1981-5p",886,797,1126,981,674,427,588,481,"DBT"
"61","mmu-miR-1983",24763,14744,17980,18835,5152,4187,11901,10394,"DBT"
"63","mmu-miR-19b-3p",50577,28921,33100,34873,23801,11111,18974,15479,"DBT"
"68","mmu-miR-20a-3p",245,139,143,162,102,53,89,61,"DBT"
"69","mmu-miR-20a-5p",66947,38063,40035,39086,35125,20191,22286,16813,"DBT"
"72","mmu-miR-212-3p",903,825,846,729,313,201,419,493,"DBT"
"73","mmu-miR-212-5p",1596,1029,1414,1231,485,357,973,889,"DBT"
"74","mmu-miR-215-5p",128,72,109,113,28,18,58,81,"DBT"
"75","mmu-miR-218-2-3p",32,27,16,8,11,6,9,10,"DBT"
"78","mmu-miR-222-3p",39572,35523,39306,29950,16384,12870,25427,24109,"DBT"
"81","mmu-miR-23a-5p",125,92,155,138,42,22,43,57,"DBT"
"82","mmu-miR-23b-5p",897,561,703,857,316,233,288,382,"DBT"
"83","mmu-miR-25-5p",414,398,402,269,189,98,216,197,"DBT"
"84","mmu-miR-27a-5p",5934,5640,6802,5566,2079,1192,2491,2113,"DBT"
"85","mmu-miR-298-3p",120,157,124,86,44,23,64,47,"DBT"
"87","mmu-miR-301a-5p",1429,1454,1662,1189,593,419,998,859,"DBT"
"88","mmu-miR-3057-3p",42,37,40,55,8,13,22,31,"DBT"
"89","mmu-miR-3061-3p",49,46,47,38,6,9,8,18,"DBT"
"91","mmu-miR-3075-5p",28,29,33,24,6,1,7,11,"DBT"
"92","mmu-miR-3089-3p",50,47,55,57,9,8,32,30,"DBT"
"94","mmu-miR-3102-3p",4580,5641,5588,3892,2120,1306,3254,2740,"DBT"
"95","mmu-miR-3105-3p",36,27,40,23,0,3,27,13,"DBT"
"96","mmu-miR-3110-5p",159,217,201,124,66,32,138,111,"DBT"
"104","mmu-miR-338-3p",353,326,129,131,31,25,43,48,"DBT"
"105","mmu-miR-338-5p",263,96,75,68,29,8,19,37,"DBT"
"108","mmu-miR-344d-3p",328,198,296,356,57,60,128,114,"DBT"
"109","mmu-miR-346-5p",79,40,124,94,27,13,50,56,"DBT"
"116","mmu-miR-363-3p",13,3,33,25,3,3,7,6,"DBT"
"123","mmu-miR-431-3p",1662,1783,2669,1914,744,506,1528,1248,"DBT"
"124","mmu-miR-448-3p",2,0,233,129,1,0,5,4,"DBT"
"131","mmu-miR-483-3p",1726,1325,882,745,593,326,300,252,"DBT"
"137","mmu-miR-5099",2728,2323,3148,3047,998,685,1029,977,"DBT"
"144","mmu-miR-5128",37,47,41,29,9,7,13,16,"DBT"
"146","mmu-miR-6539",389,346,323,214,68,71,166,122,"DBT"
"147","mmu-miR-6540-5p",72,58,56,61,23,12,29,31,"DBT"
"148","mmu-miR-6546-5p",30,22,28,17,3,4,9,14,"DBT"
"150","mmu-miR-677-3p",52,102,47,38,18,10,20,17,"DBT"
"151","mmu-miR-7018-3p",44,54,44,50,15,6,16,33,"DBT"
"155","mmu-miR-744-3p",504,420,533,376,197,111,347,250,"DBT"
"156","mmu-miR-744-5p",28911,35405,40744,28774,13432,8627,17450,15474,"DBT"
"157","mmu-miR-7649-3p",192,96,70,113,16,23,45,59,"DBT"
"158","mmu-miR-7688-5p",650,497,651,523,206,138,339,277,"DBT"
"159","mmu-miR-770-5p",203,286,380,319,88,67,242,230,"DBT"
"163","mmu-miR-92a-1-5p",330,245,174,136,77,35,74,53,"DBT"
"164","mmu-miR-96-5p",149,80,1389,723,111,84,444,206,"DBT"
"165","mmu-miR-98-3p",297,193,192,259,88,62,145,101,"DBT"
"168","Novel_37",26,27,18,16,7,7,11,10,"DBT"
