"miRNA","D0PF1","D0PF2","D7PF1","D7PF2"
"mmu-let-7a-2-3p",647,516,218,206
"mmu-let-7b-5p",36375,23766,63500,44838
"mmu-let-7c-5p",138745,91805,239677,174265
"mmu-let-7e-3p",1821,1463,655,533
"mmu-let-7e-5p",33910,31150,58020,45996
"mmu-miR-10a-5p",245,79,1585,818
"mmu-miR-10b-3p",571,224,893,550
"mmu-miR-10b-5p",46225,18403,92291,62161
"mmu-miR-1199-5p",3,3,27,19
"mmu-miR-122-5p",118,108,20,17
"mmu-miR-124-3p",298,345,45,31
"mmu-miR-124-5p",71,44,4,7
"mmu-miR-1247-3p",153,119,25,10
"mmu-miR-1247-5p",772,631,137,93
"mmu-miR-125b-1-3p",61673,64734,19089,12270
"mmu-miR-125b-2-3p",6043,4732,12267,6920
"mmu-miR-126a-3p",1851,929,607,352
"mmu-miR-126a-5p",991,516,336,191
"mmu-miR-129-1-3p",78,23,11,7
"mmu-miR-129-2-3p",7211,4134,1664,893
"mmu-miR-129-5p",6088,4850,663,565
"mmu-miR-1291",122,146,32,32
"mmu-miR-130b-3p",246,138,554,247
"mmu-miR-130b-5p",410,191,683,421
"mmu-miR-132-3p",7988,6470,1516,1199
"mmu-miR-132-5p",1488,938,440,327
"mmu-miR-135a-5p",615,372,137,152
"mmu-miR-136-5p",3674,2305,6495,3955
"mmu-miR-142a-3p",2036,752,9891,4071
"mmu-miR-142a-5p",7345,2500,41278,16110
"mmu-miR-146a-3p",9,5,44,26
"mmu-miR-146a-5p",10010,4049,50130,19274
"mmu-miR-146b-5p",7741,4101,13745,8135
"mmu-miR-155-3p",49,21,5,2
"mmu-miR-155-5p",9609,4463,1634,1076
"mmu-miR-15a-5p",6810,4202,11475,6630
"mmu-miR-16-5p",55473,29439,110594,50775
"mmu-miR-17-3p",8111,6711,3793,1856
"mmu-miR-17-5p",39864,25706,16449,8965
"mmu-miR-181a-2-3p",277,178,509,362
"mmu-miR-181c-5p",5315,3402,1609,1055
"mmu-miR-184-3p",264,171,1821,1340
"mmu-miR-1843a-3p",76,49,124,96
"mmu-miR-188-5p",239,209,699,295
"mmu-miR-18a-3p",151,175,93,31
"mmu-miR-18a-5p",5758,4104,1960,1140
"mmu-miR-193a-3p",326,280,961,466
"mmu-miR-193b-3p",2957,2424,8009,3667
"mmu-miR-193b-5p",106,73,205,117
"mmu-miR-1945",71,59,15,17
"mmu-miR-195a-5p",2116,750,5538,2468
"mmu-miR-1983",24763,14744,5152,4187
"mmu-miR-200a-3p",97,95,35,21
"mmu-miR-200c-3p",78,39,146,55
"mmu-miR-203-3p",537,250,1556,1063
"mmu-miR-204-5p",286,155,1248,810
"mmu-miR-210-3p",13105,8415,29861,13591
"mmu-miR-210-5p",73,58,186,78
"mmu-miR-212-3p",903,825,313,201
"mmu-miR-212-5p",1596,1029,485,357
"mmu-miR-215-5p",128,72,28,18
"mmu-miR-218-2-3p",32,27,11,6
"mmu-miR-21a-3p",9937,5210,13446,15007
"mmu-miR-21a-5p",3937820,2535738,7602399,4232036
"mmu-miR-222-3p",39572,35523,16384,12870
"mmu-miR-223-3p",4857,1584,24258,9190
"mmu-miR-223-5p",260,126,1281,612
