D0_PF_1,D0_PF_2,D7_PF_1,D7_PF_2,target_id
574.1814776,536.2361986,775.7171025,787.1754819,0610009B22Rik
1030.018067,1076.264578,1281.777197,1406.657874,0610009O20Rik
1187.701392,892.8259696,742.0664265,747.8448634,0610010F05Rik
617.115694,549.2270748,898.6211806,934.0522109,0610010K14Rik
724.4423453,768.2488445,1775.370257,2396.880656,0610012G03Rik
641.1715801,733.8516417,758.9853263,836.8350264,0610030E20Rik
1152.476162,1153.805759,1637.830718,1467.99607,0610037L13Rik
3.643136814,0.309940707,10.40522047,20.24602723,0610040J01Rik
51.12731535,39.45312576,29.27827158,22.50514368,1110002E22Rik
188.1594685,175.1675484,138.9837173,129.5948923,1110004E09Rik
2726.0975,2567.724223,2655.687306,2369.647634,1110004F10Rik
3350.743035,3174.306984,2978.819334,3219.128321,1110008F13Rik
334.0705438,346.4153218,350.7275319,397.2904393,1110008L16Rik
1157.765848,1177.988076,1938.257938,2151.735125,1110008P14Rik
749.5942998,793.5414699,957.9359615,880.6990626,1110012L19Rik
13.93652055,1.668627037,3.238982223,3.135614476,1110017D15Rik
0,0,0,0,1110025L11Rik
111.8300729,136.8181114,224.9995006,230.6081231,1110032A03Rik
0.898794124,0.958383418,4.529248045,11.27786925,1110032F04Rik
106.4677263,138.8372107,194.810256,221.7988886,1110034G24Rik
749.5942998,785.8744026,1124.385827,973.9977992,1110038F14Rik
311.7639867,310.0651228,307.5943312,289.3808983,1110051M20Rik
0,0,0,0,1110057P08Rik
220.3576449,231.3696937,226.8961762,218.766206,1110059E24Rik
621.4462245,629.8866248,776.908339,722.8081163,1110059G10Rik
643.0297974,708.3194381,1001.79416,928.8061743,1110065P20Rik
1954.877221,1734.673986,2782.090612,2461.65128,1190002N15Rik
25.59851062,25.84564126,100.1958453,83.72415667,1190005I06Rik
86.45470418,93.79957508,124.1350798,121.7472169,1190007I07Rik
3.484221091,3.783853075,4.368213299,7.497908743,1300017J02Rik
0,0,0,0,1500009C09Rik
103.0808939,120.0979273,350.8659225,255.9957469,1500009L16Rik
203.5357691,167.1218503,273.1994327,355.4573894,1500011B03Rik
368.505591,400.6042686,446.1309324,497.251508,1500011K16Rik
149.1998247,131.2985282,16296.23447,14389.53591,1500015O10Rik
3.134950421,26.75074917,2.944974789,6.902858364,1520401A03Rik
270.5370315,318.1832947,233.2562743,263.4920362,1600002K03Rik
1341.194819,1342.471093,1821.982318,1798.939764,1600012H06Rik
939.8624036,1049.75857,1180.924732,1070.186436,1600014C10Rik
1.797588249,0,0,1.025260841,1600014C23Rik
0.898794124,0,0,0,1600015I10Rik
9.345431392,6.697025619,5.250495713,8.266590373,1600029O15Rik
0,0,0,0,1700001C02Rik
2.271416223,1.005578424,4.594914094,1.884769221,1700001C19Rik
0,0,0,0,1700001F09Rik
0,3.259691904,0,0,1700001J03Rik
0,0,0,0,1700001J11Rik
21.73606389,23.14681654,34.70669746,23.69191113,1700001K19Rik
3.678102126,0.634428011,6.914491952,10.35263772,1700001L19Rik
9.528127904,15.29866761,15.34470239,3.387586964,1700001O22Rik
1.797588249,1.916766836,2.264624022,0,1700001P01Rik
36.64005405,29.69170764,63.78772095,61.97789229,1700003E16Rik
1.797588249,3.883321904,60.20650976,86.40938008,1700003F12Rik
0,0,0,0,1700003H04Rik
0,0,0,0,1700003N22Rik
0,0,0,0,1700006A11Rik
0,7.132191312,8.527731073,7.580740502,1700006E09Rik
4.468456105,12.38832283,4.503639767,9.175504288,1700007E05Rik
1.970198629,0,1.660114207,0.755119074,1700007G11Rik
2.778239416,5.00292378,0.701783274,1.91781521,1700007K09Rik
50.6852638,45.24313449,36.1392368,29.71744574,1700007K13Rik
5.721942824,8.541209991,2.6417723,1.0050446,1700008O03Rik
0,0,0,0,1700008P02Rik
92.57579482,93.92157494,16.98468017,7.176825889,1700009N14Rik
