D0_SAG_1,D0_SAG_2,D7_SAG_1,D7_SAG_2,target_id
578.5577573,553.6174274,812.5816458,885.566622,0610009B22Rik
966.4494448,967.8131452,1208.211889,1229.723904,0610009O20Rik
896.633349,903.3495981,813.8797991,790.2140537,0610010F05Rik
581.0992732,542.421108,1084.882918,1109.760366,0610010K14Rik
751.4301863,739.1403772,1197.673269,1267.62589,0610012G03Rik
672.3349707,618.8731065,672.8839629,637.636384,0610030E20Rik
1114.634651,1251.621179,1827.614497,2074.333724,0610037L13Rik
4.589773771,0,2.466927922,2.539470421,0610040J01Rik
41.6230814,68.7513051,20.85821989,12.39803639,1110002E22Rik
155.6260537,142.3961255,129.9810046,153.4867969,1110004E09Rik
2599.468784,2449.232323,2748.497296,3067.154446,1110004F10Rik
3282.701754,3196.617444,2435.684248,2730.672445,1110008F13Rik
380.8617535,299.7615652,271.4206447,322.1998643,1110008L16Rik
1113.580846,1160.758056,2142.615939,2077.158898,1110008P14Rik
845.2768147,795.880724,1011.038421,1016.50139,1110012L19Rik
19.02208138,21.54598858,9.462126826,2.787904907,1110017D15Rik
0,0,0,0,1110025L11Rik
125.5860557,119.9658703,246.4497449,312.0219266,1110032A03Rik
0.97719863,0,1.048795043,3.166670998,1110032F04Rik
160.6780526,126.9309545,196.5311662,188.4496492,1110034G24Rik
745.6025545,736.7211812,1258.554051,1267.723956,1110038F14Rik
259.2510063,290.5031764,386.5841019,483.8426149,1110051M20Rik
0,0,0,0,1110057P08Rik
200.0751212,199.0074432,227.2628395,243.2902628,1110059E24Rik
546.9042598,634.879602,971.0108261,761.480674,1110059G10Rik
626.3946932,632.096524,1307.869951,1497.809153,1110065P20Rik
1718.89239,1720.24858,2466.765941,2061.50282,1190002N15Rik
33.24885899,33.6579367,174.8442387,185.6271869,1190005I06Rik
83.84946656,77.44744479,89.82974633,102.2286481,1190007I07Rik
5.712120584,12.27456412,21.08298188,5.272815906,1300017J02Rik
0,1.86804732,0,0,1500009C09Rik
223.3682676,253.5409867,622.8758947,760.7609819,1500009L16Rik
233.4566452,214.0546361,237.3646251,283.0744977,1500011B03Rik
337.1335272,322.6043817,399.5909113,508.7784736,1500011K16Rik
396.7426437,421.5117423,24144.31068,24767.58943,1500015O10Rik
7.971205607,26.33750722,2.728804217,0,1520401A03Rik
296.0911848,301.3439211,204.5150333,202.6669439,1600002K03Rik
1388.231636,1312.276446,1973.272068,1883.744094,1600012H06Rik
935.3776433,1023.3751,1317.849351,1154.515191,1600014C10Rik
0.97719863,0.924367856,0,1.055556999,1600014C23Rik
0,0,0,0,1600015I10Rik
10.82281732,10.42208455,6.545771247,5.277694245,1600029O15Rik
0,0,0,0,1700001C02Rik
0.885822513,1.390146793,0,2.210866662,1700001C19Rik
0,0,0,0,1700001F09Rik
0,0,0.74332041,0,1700001J03Rik
0,0,0,0,1700001J11Rik
17.1316314,19.2937883,14.44284207,14.33844806,1700001K19Rik
2.58457987,3.787919781,12.84838951,14.86274981,1700001L19Rik
9.345969742,8.212241933,4.806981827,7.965500326,1700001O22Rik
1.954397259,1.848735712,1.048795043,1.055556999,1700001P01Rik
43.82132644,45.14361105,69.73479151,70.43597373,1700003E16Rik
4.885993148,2.773103568,9.493533295,8.444455994,1700003F12Rik
0,0,0,0,1700003H04Rik
0,0,0,0,1700003N22Rik
0,0,0,0,1700006A11Rik
0,0,31.94741398,7.752175239,1700006E09Rik
8.744767856,7.363478286,7.299954206,6.297876849,1700007E05Rik
1.551989254,1.466455612,3.069298972,2.338196683,1700007G11Rik
0.602776666,3.426624701,0,2.636866835,1700007K09Rik
58.47348338,48.72435765,40.38928877,37.76238513,1700007K13Rik
4.516852738,5.711218816,9.727488221,7.814819811,1700008O03Rik
0,0,0,0,1700008P02Rik
98.6970616,97.05862488,26.21987607,28.50003898,1700009N14Rik
0.97719863,0,1.048795043,1.055556999,1700010B08Rik
34.71617523,28.39209307,30.77867177,30.99360356,1700010I14Rik
0,0,0,0,1700010N08Rik
0,0,0,0,1700011H14Rik
2.973959683,0,3.141086744,0,1700011I03Rik
0.618985617,2.187400263,0.666748957,0.678608497,1700011L22Rik
0,0,0,0,1700011M02Rik
0,0,0,0,1700012A03Rik
1.954397259,0.924367856,0,1.055556999,1700012B07Rik
8.778688315,8.175936438,0,0,1700012B09Rik
0,0,0,0,1700012P22Rik
0,0,0,1.101919005,1700013D24Rik
3.651788961,4.62183928,3.146385128,0,1700013F07Rik
0,0,0,0,1700013G24Rik
0.97719863,0,3.146385128,0,1700013H16Rik
0.97719863,9.728996095,0,0,1700014D04Rik
1.954397259,9.414874889,0,1.055556999,1700015F17Rik
0,0,0,0,1700015G11Rik
0,0,0,0,1700016C15Rik
1.520401932,1.370373013,1.270020488,1.113218086,1700016D06Rik
0,0,0,0,1700016G14Rik
0.97719863,0,0,0,1700016H13Rik
1.954397259,0.924367856,2.097590086,3.166670998,1700016K19Rik
253.2169206,231.3359834,275.0363835,270.2288389,1700017B05Rik
0,0,0,1.489471525,1700017D01Rik
0,0,0,0,1700017N19Rik
0,0,0,2.11720294,1700018B08Rik
0,0,0,0,1700018F24Rik
0,0,0,0,1700018G05Rik
0,0,0,0,1700018M17Rik
0,0,2.11794409,0,1700019A02Rik
3.610827999,1.420796812,4.940927419,6.435063706,1700019D03Rik
0,0,0,0,1700019M22Rik
0.968134776,0,1.058646011,0,1700019N19Rik
1.766226164,0.557652395,0,2.274459403,1700020A23Rik
7.817589038,12.01678213,7.341565299,7.388898995,1700020D05Rik
65.77454974,51.95506202,34.10787265,33.75601124,1700020L24Rik
0,0,0,0,1700020N01Rik
0,0,0,0,1700020N15Rik
333.5518082,316.9055186,333.0751058,365.5647596,1700021F05Rik
0,0,0,0,1700021F07Rik
0,0,0,0,1700022A21Rik
2.796467302,0,0,0,1700022I11Rik
2.647603019,2.773103568,9.2707063,14.38485928,1700023F06Rik
0,0,0,0,1700024B05Rik
0,0,0,0,1700024G13Rik
13.68356016,4.807673795,10.50089758,9.505852147,1700024J04Rik
0,0.924367856,0,0,1700024P04Rik
0,0,0,0,1700025B11Rik
1.954397259,0,1.048795043,0,1700025C18Rik
0,0,0,0,1700025F22Rik
287.0915553,250.8252176,410.8601041,493.5428714,1700025G04Rik
2.215790677,2.107058134,2.796682133,3.277029167,1700028B04Rik
14.28540427,17.6977386,4.536304693,16.60012468,1700028J19Rik
2.02072659,0.63734965,1.448201998,1.465870255,1700028K03Rik
0,0,0,0,1700028P14Rik
2.896938068,1.369423134,2.097590086,3.095230539,1700029F12Rik
3.589106449,0.975308719,1.106376286,1.004081294,1700029H14Rik
5.695354976,3.931117243,3.173335402,7.759694791,1700029I15Rik
39.79744417,38.61353227,39.34338992,57.13238937,1700029J07Rik
0,0,1.048795043,0,1700029P11Rik
17.57258045,18.4245571,57.50111742,101.5635431,1700030C10Rik
52.38672747,59.79108056,32.96140721,45.9639958,1700030J22Rik
342.7448288,357.2777957,438.3096486,401.9188629,1700030K09Rik
0,0,0,0,1700031F05Rik
0,0,0,0,1700031M16Rik
1.12790542,2.130788847,1.206799618,1.20680006,1700034E13Rik
0,0,0,1.055556999,1700034I23Rik
0.800750892,0.757504284,0.859714262,0,1700034J05Rik
42.59684737,25.28907593,62.58499441,67.89357512,1700037C18Rik
703.6608646,731.5943491,752.3635401,712.0533368,1700037H04Rik
0,0,0,0,1700040F15Rik
0,0,0,0,1700042G07Rik
0,0,0,0,1700047I17Rik2
0,0,0,0,1700049E17Rik1
0,0,0,0,1700049L16Rik
25.09120354,7.910024559,20.49472321,12.84193077,1700056E22Rik
9.714202543,14.70259394,12.51185989,11.54546141,1700057G04Rik
9.351247979,11.20647775,20.09294021,11.49977213,1700061G19Rik
0,0,0.603824194,0,1700063K16Rik
0,0,2.097590086,1.055556999,1700064H15Rik
0,0,0,0,1700065I16Rik
7.064950459,6.699337353,5.900316193,1.699452217,1700066B19Rik
35.28801535,46.03590712,47.92099849,42.89892421,1700066M21Rik
8.117735772,16.33759735,15.4822687,12.31646707,1700067K01Rik
0,0,0,0,1700067P10Rik
0,0,0.820918741,0,1700069L16Rik
0,0,0,0,1700071K01Rik
7.249362299,5.877161672,3.332570667,4.463326489,1700073E17Rik
0,0,0,0,1700074P13Rik
0,0,0,0,1700080E11Rik
0,0,0,0,1700080O16Rik
0.617891931,4.418020119,0,0.671563872,1700084J12Rik
0,0,0,0,1700084M14Rik
0,1.848735712,0,0,1700086D15Rik
20.92514713,18.14781425,25.07153316,28.7574238,1700086L19Rik
32.85533424,25.62589868,48.49913902,75.70361051,1700088E04Rik
0,0,0,0,1700091H14Rik
4.71610564,5.186278524,5.319618343,4.230990467,1700092M07Rik
6.978713382,2.693809258,0.896781653,1.265109139,1700093K21Rik
20.13722117,18.42521576,16.96365705,13.69026422,1700102P08Rik
28.56260032,41.03267987,20.52921672,15.34012595,1700109H08Rik
0,0,0,0,1700113H08Rik
0,0,0,0,1700122O11Rik
0,0.623717737,0,0,1700123K08Rik
3.908794519,0.924367856,3.150503864,3.166670998,1700123L14Rik
1507.339515,1566.36949,1546.578453,1633.463489,1700123O20Rik
2.627940089,0,0,4.208399763,1700125H20Rik
2.980920312,1.410337604,3.204407356,2.432066243,1700128F08Rik
0,0,0,0,1700129C05Rik
1138.564161,1168.139692,956.7084945,1086.640788,1810009A15Rik
0,0,0,0,1810009J06Rik
1.763934378,1.318101464,1.668294107,2.930642522,1810010D01Rik
24.05384607,13.15520078,17.87792565,14.19365931,1810010H24Rik
0,0.924367856,68.17167778,112.9445989,1810011H11Rik
3284.364594,3208.480828,2286.373193,2161.780734,1810013L24Rik
44.92234479,54.92447124,50.00548787,118.7828558,1810014B01Rik
1.749692565,1.655219567,0,0,1810018F18Rik
1218.302393,1155.037607,1117.648444,967.6529412,1810022K09Rik
31.90839948,37.75139487,37.00846305,52.61180529,1810024B03Rik
1269.420447,1237.604191,1388.398557,1431.326085,1810030O07Rik
227.9186991,229.9071603,111.9196109,115.8360024,1810032O08Rik
1537.133445,1548.316159,1886.782282,1998.1694,1810037I17Rik
12.61693954,30.20626742,6.55838636,7.113987622,1810041L15Rik
340.6032862,319.2388812,544.4008937,568.9222759,1810043G02Rik
0,0,0.619789784,0,1810046K07Rik
186.7225014,176.6712242,229.4413334,217.6161035,1810049J17Rik
2629.641512,2392.264011,3017.383338,3038.948601,1810055G02Rik
22.47556848,24.95793211,47.19577693,35.88893797,1810062G17Rik
0,0,0,0,1810065E05Rik
0.97719863,0,0,0,2010003K11Rik
4.885993148,3.203550384,0.549598529,5.277784996,2010005H15Rik
0,0,0,0,2010010A06Rik
0,0,0,0,2010106E10Rik
2571.271315,2734.214238,3072.174358,3603.924215,2010107E04Rik
4.951524605,13.13105069,2.507402315,2.492893005,2010109A12Rik
51.53548171,52.41334257,36.01816945,37.45483333,2010109I03Rik
2086.142447,2094.525544,1019.978518,1213.858855,2010111I01Rik
24.74207707,27.43248561,28.67129457,48.2365334,2010300C02Rik
56.95357483,62.8656718,68.64749998,72.60182688,2010315B03Rik
185.8251113,126.0170441,106.7032633,76.84293624,2200002D01Rik
0,0,0,0,2200002J24Rik
1.954397259,4.62183928,4.195180171,3.166670998,2210010C04Rik
