"","database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","support_type","pubmed_id","type","score","disease_drug","paper_pubmedID"
"1","mirecords","MIMAT0000523","mmu-let-7c-5p","Myc","17869","ENSMUSG00000022346","Western blot","","17438130","validated",NA,NA,NA
"2","mirecords","MIMAT0000530","mmu-miR-21a-5p","Btg2","12227","ENSMUSG00000020423","","","20432256","validated",NA,NA,NA
"3","mirecords","MIMAT0000522","mmu-let-7b-5p","Mtpn","14489","ENSMUSG00000029840","Western blot","","15806104","validated",NA,NA,NA
"4","mirecords","MIMAT0000526","mmu-miR-15a-5p","Bdnf","12064","ENSMUSG00000048482","","","19416898","validated",NA,NA,NA
"5","mirtarbase","MIMAT0000148","mmu-miR-136-5p","Rock2","19878","ENSMUSG00000020580","Sequencing","","19536157","validated",NA,NA,NA
"6","mirtarbase","MIMAT0000148","mmu-miR-136-5p","Sema4f","20355","ENSMUSG00000000627","Sequencing","","19536157","validated",NA,NA,NA
"7","mirtarbase","MIMAT0000148","mmu-miR-136-5p","Slc1a4","55963","ENSMUSG00000020142","Sequencing","","19536157","validated",NA,NA,NA
"8","mirtarbase","MIMAT0000148","mmu-miR-136-5p","Mtfr1","67472","ENSMUSG00000027601","Sequencing","","19536157","validated",NA,NA,NA
"9","mirtarbase","MIMAT0000148","mmu-miR-136-5p","Camsap2","67886","ENSMUSG00000041570","Sequencing","","19536157","validated",NA,NA,NA
"10","mirtarbase","MIMAT0000148","mmu-miR-136-5p","Spire1","68166","ENSMUSG00000024533","Sequencing","","19536157","validated",NA,NA,NA
"11","mirtarbase","MIMAT0000148","mmu-miR-136-5p","Ipo5","70572","ENSMUSG00000030662","Sequencing","","19536157","validated",NA,NA,NA
"12","mirtarbase","MIMAT0000148","mmu-miR-136-5p","N4bp1","80750","ENSMUSG00000031652","Sequencing","","19536157","validated",NA,NA,NA
"13","mirtarbase","MIMAT0000148","mmu-miR-136-5p","Senp5","320213","ENSMUSG00000022772","Sequencing","","19536157","validated",NA,NA,NA
"14","mirtarbase","MIMAT0000148","mmu-miR-136-5p","Uba6","231380","ENSMUSG00000035898","HITS-CLIP","","23142080","validated",NA,NA,NA
"15","mirtarbase","MIMAT0000665","mmu-miR-223-3p","Utrn","22288","ENSMUSG00000019820","Sequencing","","19536157","validated",NA,NA,NA
"16","mirtarbase","MIMAT0000665","mmu-miR-223-3p","Itgb1","16412","ENSMUSG00000025809","Sequencing","","19536157","validated",NA,NA,NA
"17","mirtarbase","MIMAT0000665","mmu-miR-223-3p","Celf1","13046","ENSMUSG00000005506","Sequencing","","19536157","validated",NA,NA,NA
"18","mirtarbase","MIMAT0000665","mmu-miR-223-3p","Enc1","13803","ENSMUSG00000041773","Sequencing","","19536157","validated",NA,NA,NA
"19","mirtarbase","MIMAT0000665","mmu-miR-223-3p","Igf1r","16001","ENSMUSG00000005533","Sequencing//Reporter assay;Western blot//Luciferase reporter assay//qRT-PCR//Western blot","","19536157","validated",NA,NA,NA
"20","mirtarbase","MIMAT0000665","mmu-miR-223-3p","Ktn1","16709","ENSMUSG00000021843","Sequencing","","19536157","validated",NA,NA,NA
"21","mirtarbase","MIMAT0000665","mmu-miR-223-3p","Myo1c","17913","ENSMUSG00000017774","HITS-CLIP","","21258322","validated",NA,NA,NA
"22","mirtarbase","MIMAT0000665","mmu-miR-223-3p","Dusp8","18218","ENSMUSG00000037887","Sequencing","","19536157","validated",NA,NA,NA
"23","mirtarbase","MIMAT0000665","mmu-miR-223-3p","Rest","19712","ENSMUSG00000029249","Sequencing","","19536157","validated",NA,NA,NA
"24","mirtarbase","MIMAT0000665","mmu-miR-223-3p","Tnfaip1","21927","ENSMUSG00000017615","Sequencing","","19536157","validated",NA,NA,NA
"25","mirtarbase","MIMAT0000665","mmu-miR-223-3p","Ets1","23871","ENSMUSG00000032035","Sequencing//HITS-CLIP","","19536157","validated",NA,NA,NA
"26","mirtarbase","MIMAT0000665","mmu-miR-223-3p","Amot","27494","ENSMUSG00000041688","Sequencing","","19536157","validated",NA,NA,NA
"27","mirtarbase","MIMAT0000665","mmu-miR-223-3p","Pgrmc1","53328","ENSMUSG00000006373","Sequencing","","19536157","validated",NA,NA,NA
"28","mirtarbase","MIMAT0000665","mmu-miR-223-3p","Camsap2","67886","ENSMUSG00000041570","Sequencing","","19536157","validated",NA,NA,NA
"29","mirtarbase","MIMAT0000665","mmu-miR-223-3p","Arl5a","75423","ENSMUSG00000036093","Sequencing","","19536157","validated",NA,NA,NA
"30","mirtarbase","MIMAT0000665","mmu-miR-223-3p","Pard6g","93737","ENSMUSG00000056214","Sequencing","","19536157","validated",NA,NA,NA
"31","mirtarbase","MIMAT0000665","mmu-miR-223-3p","Ank2","109676","ENSMUSG00000032826","Sequencing","","19536157","validated",NA,NA,NA
"32","mirtarbase","MIMAT0000665","mmu-miR-223-3p","Cdc42bpa","226751","ENSMUSG00000026490","Sequencing","","19536157","validated",NA,NA,NA
"33","mirtarbase","MIMAT0000665","mmu-miR-223-3p","Cavin2","20324","ENSMUSG00000045954","Sequencing","","19536157","validated",NA,NA,NA
"34","mirtarbase","MIMAT0000530","mmu-miR-21a-5p","Smad7","17131","ENSMUSG00000025880","Luciferase reporter assay//Northern blot//QRTPCR//Immunoprecipitation","","23784029","validated",NA,NA,NA
"35","mirtarbase","MIMAT0000530","mmu-miR-21a-5p","Timp3","21859","ENSMUSG00000020044","qRT-PCR","","23797704","validated",NA,NA,NA
"36","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Atp2a2","11938","ENSMUSG00000029467","Sequencing","","19536157","validated",NA,NA,NA
"37","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Igf1r","16001","ENSMUSG00000005533","Sequencing","","19536157","validated",NA,NA,NA
"38","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Ikbkg","16151","ENSMUSG00000004221","Sequencing","","19536157","validated",NA,NA,NA
"39","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Dusp1","19252","ENSMUSG00000024190","Sequencing","","19536157","validated",NA,NA,NA
"40","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Rock2","19878","ENSMUSG00000020580","Sequencing","","19536157","validated",NA,NA,NA
"41","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Sema4f","20355","ENSMUSG00000000627","Sequencing","","19536157","validated",NA,NA,NA
"42","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Skil","20482","ENSMUSG00000027660","Sequencing","","19536157","validated",NA,NA,NA
"43","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Slc20a1","20515","ENSMUSG00000027397","Sequencing","","19536157","validated",NA,NA,NA
"44","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Dlc1","50768","ENSMUSG00000031523","Sequencing","","19536157","validated",NA,NA,NA
"45","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Pgrmc1","53328","ENSMUSG00000006373","Sequencing","","19536157","validated",NA,NA,NA
"46","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Fam135a","68187","ENSMUSG00000026153","Sequencing","","19536157","validated",NA,NA,NA
"47","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Nol8","70930","ENSMUSG00000021392","Sequencing","","19536157","validated",NA,NA,NA
"48","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Fam118a","73225","ENSMUSG00000022434","Sequencing","","19536157","validated",NA,NA,NA
"49","mirtarbase","MIMAT0000522","mmu-let-7b-5p","Arl5a","75423","ENSMUSG00000036093","Sequencing","","19536157","validated",NA,NA,NA
