ID,D0PF1,D0PF2,D7PF1,D7PF2
mmu-miR-99b-5p,275784,223626,168083,107848
mmu-miR-99b-3p,2646,2070,1265,825
mmu-miR-99a-5p,233596,104537,511948,309932
mmu-miR-99a-3p,481,395,1187,746
mmu-miR-98-5p,26655,17517,18363,13622
mmu-miR-98-3p,297,193,88,62
mmu-miR-9769-5p,2,0,0,0
mmu-miR-9769-3p,7,6,2,4
mmu-miR-9768-5p,0,0,0,0
mmu-miR-96-5p,149,80,111,84
mmu-miR-96-3p,1,1,0,0
mmu-miR-935,19,15,21,20
mmu-miR-93-5p,43400,25165,33463,19922
mmu-miR-93-3p,707,599,461,239
mmu-miR-92b-5p,28,8,6,3
mmu-miR-92b-3p,1025,580,556,320
mmu-miR-92a-3p,3041,1675,1851,1083
mmu-miR-92a-1-5p,330,245,77,35
mmu-miR-9-5p,395,231,367,230
mmu-miR-9-3p,48,30,53,41
mmu-miR-883b-5p,0,0,0,0
mmu-miR-883b-3p,0,0,0,0
mmu-miR-883a-3p,1,0,0,0
mmu-miR-881-3p,0,0,1,0
mmu-miR-880-3p,0,0,2,0
mmu-miR-879-5p,76,76,63,39
mmu-miR-879-3p,7,2,2,1
mmu-miR-878-3p,0,0,0,0
mmu-miR-877-5p,291,220,238,149
mmu-miR-877-3p,126,178,146,52
mmu-miR-876-5p,5,2,24,27
mmu-miR-875-5p,0,0,2,0
mmu-miR-874-5p,5,11,12,8
mmu-miR-874-3p,274,391,447,328
mmu-miR-873a-5p,28,47,207,147
mmu-miR-873a-3p,2,3,22,13
mmu-miR-872-5p,7985,4029,9230,6299
mmu-miR-872-3p,5016,4360,2728,1730
mmu-miR-871-5p,0,0,1,0
mmu-miR-871-3p,1,2,0,0
mmu-miR-8120,9,5,5,2
mmu-miR-8118,5,9,3,4
mmu-miR-8116,0,0,1,0
mmu-miR-8114,264,278,251,126
mmu-miR-8112,162,128,98,46
mmu-miR-8111,4,11,6,2
mmu-miR-8108,0,0,2,2
mmu-miR-8107,3,0,0,1
mmu-miR-8106,8,4,6,4
mmu-miR-8105,2,3,1,0
mmu-miR-8103,15,15,25,15
mmu-miR-8101,0,2,0,0
mmu-miR-8100,2,0,0,0
mmu-miR-8098,3,5,0,2
mmu-miR-8097,3,0,5,5
mmu-miR-8096,0,0,0,1
mmu-miR-8094,7,0,5,5
mmu-miR-8093,1,0,0,1
mmu-miR-8092,4,6,0,3
mmu-miR-8091,0,0,0,1
mmu-miR-8090,0,2,7,2
mmu-miR-802-5p,6,3,32,12
mmu-miR-802-3p,0,1,6,1
mmu-miR-7b-5p,0,3,1,0
mmu-miR-7a-5p,14320,10163,14796,10894
mmu-miR-7a-2-3p,0,2,0,0
mmu-miR-7a-1-3p,679,376,642,324
mmu-miR-770-5p,203,286,88,67
mmu-miR-770-3p,131,88,143,60
mmu-miR-7689-3p,41,16,20,13
mmu-miR-7688-5p,650,497,206,138
mmu-miR-7688-3p,4,2,1,1
mmu-miR-7687-5p,6,6,2,3
mmu-miR-7687-3p,0,2,2,0
mmu-miR-7685-5p,0,0,0,0
mmu-miR-7685-3p,0,0,0,0
mmu-miR-7682-5p,2,0,0,0
mmu-miR-7682-3p,0,1,1,1
mmu-miR-7681-5p,0,0,0,1
mmu-miR-7680-5p,0,0,1,1
mmu-miR-7679-5p,30,32,17,17
mmu-miR-7679-3p,3,2,0,0
mmu-miR-7677-3p,1,0,1,0
mmu-miR-7676-5p,0,0,1,0
mmu-miR-7676-3p,3,1,4,3
mmu-miR-7675-5p,1,0,0,2
mmu-miR-7675-3p,4,6,3,0
mmu-miR-7674-5p,1,0,1,0
mmu-miR-7674-3p,0,0,1,0
mmu-miR-7673-5p,1,0,4,2
mmu-miR-7672-5p,0,0,0,0
mmu-miR-7672-3p,0,1,0,0
mmu-miR-7671-5p,4,1,1,0
mmu-miR-7671-3p,0,1,0,2
mmu-miR-7670-3p,1,0,1,1
mmu-miR-7669-5p,12,10,14,5
mmu-miR-7669-3p,10,4,4,12
mmu-miR-7668-5p,5,1,3,0
mmu-miR-7668-3p,2,1,1,0
mmu-miR-7667-5p,26,25,12,11
mmu-miR-7667-3p,4,7,3,2
mmu-miR-7666-5p,0,0,0,0
mmu-miR-7666-3p,0,1,0,0
mmu-miR-7665-5p,0,0,2,0
mmu-miR-7665-3p,0,0,0,0
