ID,D0SAG1,D0SAG2,D7SAG1,D7SAG2
mmu-miR-99b-5p,294801,238769,270918,232256
mmu-miR-99b-3p,3443,2307,1768,1759
mmu-miR-99a-5p,149227,136745,404554,252257
mmu-miR-99a-3p,719,374,933,920
mmu-miR-98-5p,6858,21726,26425,9852
mmu-miR-98-3p,192,259,145,101
mmu-miR-9769-5p,0,0,0,0
mmu-miR-9769-3p,11,9,3,3
mmu-miR-9768-5p,1,0,0,0
mmu-miR-96-5p,1389,723,444,206
mmu-miR-96-3p,2,4,0,0
mmu-miR-935,26,6,37,32
mmu-miR-93-5p,27307,31045,26965,20354
mmu-miR-93-3p,651,525,517,412
mmu-miR-92b-5p,24,9,13,12
mmu-miR-92b-3p,858,842,1212,1039
mmu-miR-92a-3p,1881,2091,1316,1224
mmu-miR-92a-1-5p,174,136,74,53
mmu-miR-9-5p,222,1565,448,292
mmu-miR-9-3p,35,131,71,68
mmu-miR-883b-5p,0,0,0,1
mmu-miR-883b-3p,0,0,1,1
mmu-miR-883a-3p,1,0,2,2
mmu-miR-881-3p,0,3,1,0
mmu-miR-880-3p,0,0,2,0
mmu-miR-879-5p,83,60,137,122
mmu-miR-879-3p,4,2,10,2
mmu-miR-878-3p,0,0,1,0
mmu-miR-877-5p,165,234,219,192
mmu-miR-877-3p,106,107,111,114
mmu-miR-876-5p,12,10,51,41
mmu-miR-875-5p,0,0,0,0
mmu-miR-874-5p,5,6,13,10
mmu-miR-874-3p,343,230,697,612
mmu-miR-873a-5p,72,47,368,303
mmu-miR-873a-3p,6,13,51,34
mmu-miR-872-5p,3217,6715,10604,6014
mmu-miR-872-3p,5320,4001,4487,3534
mmu-miR-871-5p,0,0,2,0
mmu-miR-871-3p,1,0,0,0
mmu-miR-8120,12,23,8,7
mmu-miR-8118,13,17,5,14
mmu-miR-8116,1,0,0,0
mmu-miR-8114,312,271,198,247
mmu-miR-8112,209,148,134,121
mmu-miR-8111,5,7,7,5
mmu-miR-8108,0,0,0,1
mmu-miR-8107,0,0,0,1
mmu-miR-8106,9,7,6,3
mmu-miR-8105,3,3,0,3
mmu-miR-8103,5,20,31,21
mmu-miR-8101,0,0,0,0
mmu-miR-8100,2,0,0,0
mmu-miR-8098,3,7,1,4
mmu-miR-8097,3,0,3,5
mmu-miR-8096,0,0,0,0
mmu-miR-8094,4,1,10,6
mmu-miR-8093,0,0,1,0
mmu-miR-8092,6,4,5,3
mmu-miR-8091,0,0,1,1
