miRNA,D0PF1,D0PF2,D0SAG1,D0SAG2,D7PF1,D7PF2,D7SAG1,D7SAG2
mmu-miR-99b-5p,275784,223626,294801,238769,168083,107848,270918,232256
mmu-miR-99b-3p,2646,2070,3443,2307,1265,825,1768,1759
mmu-miR-99a-5p,233596,104537,149227,136745,511948,309932,404554,252257
mmu-miR-99a-3p,481,395,719,374,1187,746,933,920
mmu-miR-98-5p,26655,17517,6858,21726,18363,13622,26425,9852
mmu-miR-98-3p,297,193,192,259,88,62,145,101
mmu-miR-9769-5p,2,0,0,0,0,0,0,0
mmu-miR-9769-3p,7,6,11,9,2,4,3,3
mmu-miR-9768-5p,0,0,1,0,0,0,0,0
mmu-miR-96-5p,149,80,1389,723,111,84,444,206
mmu-miR-96-3p,1,1,2,4,0,0,0,0
mmu-miR-935,19,15,26,6,21,20,37,32
mmu-miR-93-5p,43400,25165,27307,31045,33463,19922,26965,20354
mmu-miR-93-3p,707,599,651,525,461,239,517,412
mmu-miR-92b-5p,28,8,24,9,6,3,13,12
mmu-miR-92b-3p,1025,580,858,842,556,320,1212,1039
mmu-miR-92a-3p,3041,1675,1881,2091,1851,1083,1316,1224
mmu-miR-92a-1-5p,330,245,174,136,77,35,74,53
mmu-miR-9-5p,395,231,222,1565,367,230,448,292
mmu-miR-9-3p,48,30,35,131,53,41,71,68
mmu-miR-883b-5p,0,0,0,0,0,0,0,1
mmu-miR-883b-3p,0,0,0,0,0,0,1,1
mmu-miR-883a-3p,1,0,1,0,0,0,2,2
mmu-miR-881-3p,0,0,0,3,1,0,1,0
mmu-miR-880-3p,0,0,0,0,2,0,2,0
mmu-miR-879-5p,76,76,83,60,63,39,137,122
mmu-miR-879-3p,7,2,4,2,2,1,10,2
mmu-miR-878-3p,0,0,0,0,0,0,1,0
mmu-miR-877-5p,291,220,165,234,238,149,219,192
mmu-miR-877-3p,126,178,106,107,146,52,111,114
mmu-miR-876-5p,5,2,12,10,24,27,51,41
mmu-miR-875-5p,0,0,0,0,2,0,0,0
mmu-miR-874-5p,5,11,5,6,12,8,13,10
mmu-miR-874-3p,274,391,343,230,447,328,697,612
mmu-miR-873a-5p,28,47,72,47,207,147,368,303
mmu-miR-873a-3p,2,3,6,13,22,13,51,34
mmu-miR-872-5p,7985,4029,3217,6715,9230,6299,10604,6014
mmu-miR-872-3p,5016,4360,5320,4001,2728,1730,4487,3534
mmu-miR-871-5p,0,0,0,0,1,0,2,0
mmu-miR-871-3p,1,2,1,0,0,0,0,0
mmu-miR-8120,9,5,12,23,5,2,8,7
mmu-miR-8118,5,9,13,17,3,4,5,14
mmu-miR-8116,0,0,1,0,1,0,0,0
mmu-miR-8114,264,278,312,271,251,126,198,247
mmu-miR-8112,162,128,209,148,98,46,134,121
mmu-miR-8111,4,11,5,7,6,2,7,5
mmu-miR-8108,0,0,0,0,2,2,0,1
mmu-miR-8107,3,0,0,0,0,1,0,1
mmu-miR-8106,8,4,9,7,6,4,6,3
mmu-miR-8105,2,3,3,3,1,0,0,3
mmu-miR-8103,15,15,5,20,25,15,31,21
mmu-miR-8101,0,2,0,0,0,0,0,0
mmu-miR-8100,2,0,2,0,0,0,0,0
mmu-miR-8098,3,5,3,7,0,2,1,4
mmu-miR-8097,3,0,3,0,5,5,3,5
mmu-miR-8096,0,0,0,0,0,1,0,0
mmu-miR-8094,7,0,4,1,5,5,10,6
mmu-miR-8093,1,0,0,0,0,1,1,0
mmu-miR-8092,4,6,6,4,0,3,5,3
mmu-miR-8091,0,0,0,0,0,1,1,1
mmu-miR-8090,0,2,0,3,7,2,3,1
mmu-miR-802-5p,6,3,8,8,32,12,29,14
mmu-miR-802-3p,0,1,1,1,6,1,8,6
mmu-miR-7b-5p,0,3,7,5,1,0,6,2
mmu-miR-7a-5p,14320,10163,3853,8800,14796,10894,16241,7609
mmu-miR-7a-2-3p,0,2,0,0,0,0,0,2
mmu-miR-7a-1-3p,679,376,415,397,642,324,521,450
mmu-miR-770-5p,203,286,380,319,88,67,242,230
mmu-miR-770-3p,131,88,159,158,143,60,239,218
mmu-miR-7689-3p,41,16,28,35,20,13,52,41
mmu-miR-7688-5p,650,497,651,523,206,138,339,277
mmu-miR-7688-3p,4,2,2,2,1,1,0,3
mmu-miR-7687-5p,6,6,7,6,2,3,0,1
mmu-miR-7687-3p,0,2,2,3,2,0,3,2
mmu-miR-7685-5p,0,0,0,0,0,0,1,0
mmu-miR-7685-3p,0,0,1,1,0,0,1,0
mmu-miR-7682-5p,2,0,3,1,0,0,1,0
mmu-miR-7682-3p,0,1,0,1,1,1,1,0
mmu-miR-7681-5p,0,0,0,0,0,1,0,0
mmu-miR-7680-5p,0,0,0,2,1,1,1,0
mmu-miR-7679-5p,30,32,14,10,17,17,20,18
mmu-miR-7679-3p,3,2,2,2,0,0,1,2
mmu-miR-7677-3p,1,0,0,0,1,0,0,0
mmu-miR-7676-5p,0,0,1,0,1,0,1,0
mmu-miR-7676-3p,3,1,0,0,4,3,0,1
mmu-miR-7675-5p,1,0,1,2,0,2,1,0
